date,variable,value
2021-12-23,hybrid cloud management,0
2021-12-24,hybrid cloud management,0
2021-12-25,hybrid cloud management,100
2021-12-26,hybrid cloud management,0
2021-12-27,hybrid cloud management,0
2021-12-28,hybrid cloud management,0
2021-12-29,hybrid cloud management,0
2021-12-30,hybrid cloud management,0
2021-12-31,hybrid cloud management,0
2022-01-01,hybrid cloud management,0
2022-01-02,hybrid cloud management,0
2022-01-03,hybrid cloud management,0
2022-01-04,hybrid cloud management,0
2022-01-05,hybrid cloud management,69
2022-01-06,hybrid cloud management,0
2022-01-07,hybrid cloud management,0
2022-01-08,hybrid cloud management,0
2022-01-09,hybrid cloud management,0
2022-01-10,hybrid cloud management,0
2022-01-11,hybrid cloud management,0
2022-01-12,hybrid cloud management,0
2022-01-13,hybrid cloud management,0
2022-01-14,hybrid cloud management,0
2022-01-15,hybrid cloud management,0
2022-01-16,hybrid cloud management,0
2022-01-17,hybrid cloud management,0
2022-01-18,hybrid cloud management,0
2022-01-19,hybrid cloud management,0
2022-01-20,hybrid cloud management,0
2022-01-21,hybrid cloud management,0
2022-01-22,hybrid cloud management,0
2022-01-23,hybrid cloud management,0
2022-01-24,hybrid cloud management,66
2022-01-25,hybrid cloud management,0
2022-01-26,hybrid cloud management,71
2022-01-27,hybrid cloud management,0
2022-01-28,hybrid cloud management,0
2022-01-29,hybrid cloud management,0
2022-01-30,hybrid cloud management,0
2022-01-31,hybrid cloud management,0
2022-02-01,hybrid cloud management,0
2022-02-02,hybrid cloud management,0
2022-02-03,hybrid cloud management,0
2022-02-04,hybrid cloud management,0
2022-02-05,hybrid cloud management,0
2022-02-06,hybrid cloud management,0
2022-02-07,hybrid cloud management,71
2022-02-08,hybrid cloud management,0
2022-02-09,hybrid cloud management,0
2022-02-10,hybrid cloud management,0
2022-02-11,hybrid cloud management,0
2022-02-12,hybrid cloud management,0
2022-02-13,hybrid cloud management,0
2022-02-14,hybrid cloud management,0
2022-02-15,hybrid cloud management,0
2022-02-16,hybrid cloud management,0
2022-02-17,hybrid cloud management,0
2022-02-18,hybrid cloud management,0
2022-02-19,hybrid cloud management,0
2022-02-20,hybrid cloud management,0
2022-02-21,hybrid cloud management,0
2022-02-22,hybrid cloud management,0
2022-02-23,hybrid cloud management,0
2022-02-24,hybrid cloud management,0
2022-02-25,hybrid cloud management,0
2022-02-26,hybrid cloud management,0
2022-02-27,hybrid cloud management,0
2022-02-28,hybrid cloud management,0
2022-03-01,hybrid cloud management,0
2022-03-02,hybrid cloud management,0
2022-03-03,hybrid cloud management,0
2022-03-04,hybrid cloud management,0
2022-03-05,hybrid cloud management,0
2022-03-06,hybrid cloud management,0
2022-03-07,hybrid cloud management,0
2022-03-08,hybrid cloud management,0
2022-03-09,hybrid cloud management,0
2022-03-10,hybrid cloud management,0
2022-03-11,hybrid cloud management,0
2022-03-12,hybrid cloud management,0
2022-03-13,hybrid cloud management,0
2022-03-14,hybrid cloud management,0
2022-03-15,hybrid cloud management,0
2022-03-16,hybrid cloud management,0
2022-03-17,hybrid cloud management,0
2022-03-18,hybrid cloud management,0
2022-03-19,hybrid cloud management,0
2022-03-20,hybrid cloud management,0
2022-03-21,hybrid cloud management,0
