Search,Clicks,Bounce Rate,CPC,Cost,Form Completion (Goal 2 Completions),Form Completion (Goal 2 Conversion Rate),Form Completion (Goal 2 Value),Pages / Session,Sessions,Users
active directory on the cloud,66,100.00%,$0.40 ,$26.34 ,0,0.00%,$0.00 ,1,25,25
amazon cloud offerings,63,96.00%,$0.32 ,$19.89 ,0,0.00%,$0.00 ,1.08,25,25
amazon cloud solutions for business,67,91.30%,$0.43 ,$28.66 ,0,0.00%,$0.00 ,1.09,23,22
aws cloud watch,77,97.30%,$0.24 ,$18.63 ,0,0.00%,$0.00 ,1.03,37,37
azure active directory,60,100.00%,$0.74 ,$44.31 ,0,0.00%,$0.00 ,1,2,2
azure devops,109,100.00%,$0.98 ,$106.35 ,0,0.00%,$0.00 ,1,6,6
azure rdp,61,71.43%,$0.72 ,$43.65 ,0,0.00%,$0.00 ,1.71,7,6
cloud storage for movies and tv shows,119,100.00%,$0.27 ,$32.64 ,0,0.00%,$0.00 ,1,5,5
cloudbolt software,60,0.00%,$4.76 ,$285.66 ,0,0.00%,$0.00 ,0,0,0
data security in cloud computing,111,80.00%,$0.33 ,$36.76 ,0,0.00%,$0.00 ,1.4,5,4
download from high security cloud storage,384,66.67%,$0.34 ,$129.24 ,0,0.00%,$0.00 ,1.44,9,4
hybrid cloud environment,66,100.00%,$0.60 ,$39.54 ,0,0.00%,$0.00 ,1,3,3
oracle data integration cloud,108,100.00%,$0.20 ,$21.36 ,0,0.00%,$0.00 ,1,1,1
popular cloud storage,94,100.00%,$0.25 ,$23.87 ,0,0.00%,$0.00 ,1,2,2
private cloud computing providers,69,100.00%,$0.47 ,$32.74 ,0,0.00%,$0.00 ,1,1,1
public cloud hosting,76,95.65%,$0.32 ,$24.02 ,0,0.00%,$0.00 ,1.07,46,46
secure cloud storage personal,207,100.00%,$0.29 ,$59.45 ,0,0.00%,$0.00 ,1,2,2
vra,160,91.61%,$6.55 ,"$1,048.24 ",0,0.00%,$0.00 ,1.21,143,130
vra links,70,97.14%,$7.35 ,$514.57 ,0,0.00%,$0.00 ,1.06,35,33
