"Address","Occurrences","H1-1","H1-1 Length","H1-2","H1-2 Length","Indexability","Indexability Status"
"https://www.bettersleep.com/studentprogram/","2","BetterSleep Premium Student Plan","32","BetterSleep Premium Student Plan","32","Indexable",""
"https://www.bettersleep.com/blog/meditation/","1","meditation","10","","0","Indexable",""
"https://www.bettersleep.com/fr/blog/meditation/","1","meditation","10","","0","Indexable",""
"https://www.bettersleep.com/blog/meditation/page/7/","1","meditation","10","","0","Indexable",""
"https://www.bettersleep.com/blog/meditation/page/8/","1","meditation","10","","0","Indexable",""
"https://www.bettersleep.com/blog/meditation/page/5/","1","meditation","10","","0","Indexable",""
"https://www.bettersleep.com/blog/meditation/page/6/","1","meditation","10","","0","Indexable",""
"https://www.bettersleep.com/blog/meditation/page/3/","1","meditation","10","","0","Indexable",""
"https://www.bettersleep.com/blog/meditation/page/4/","1","meditation","10","","0","Indexable",""
"https://www.bettersleep.com/blog/meditation/page/2/","1","meditation","10","","0","Indexable",""
"https://www.bettersleep.com/blog/news/","1","news","4","","0","Indexable",""
"https://www.bettersleep.com/blog/news/page/3/","1","news","4","","0","Indexable",""
"https://www.bettersleep.com/blog/news/page/2/","1","news","4","","0","Indexable",""
"https://www.bettersleep.com/blog/relaxation/","1","relaxation","10","","0","Indexable",""
"https://www.bettersleep.com/blog/relaxation/page/8/","1","relaxation","10","","0","Indexable",""
"https://www.bettersleep.com/blog/relaxation/page/9/","1","relaxation","10","","0","Indexable",""
"https://www.bettersleep.com/blog/relaxation/page/6/","1","relaxation","10","","0","Indexable",""
"https://www.bettersleep.com/blog/relaxation/page/2/","1","relaxation","10","","0","Indexable",""
"https://www.bettersleep.com/blog/relaxation/page/3/","1","relaxation","10","","0","Indexable",""
"https://www.bettersleep.com/blog/relaxation/page/7/","1","relaxation","10","","0","Indexable",""
"https://www.bettersleep.com/blog/relaxation/page/4/","1","relaxation","10","","0","Indexable",""
"https://www.bettersleep.com/blog/relaxation/page/5/","1","relaxation","10","","0","Indexable",""
"https://www.bettersleep.com/fr/blog/relaxation/","1","Relaxation","10","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/8/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/6/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/20/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/4/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/10/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/22/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/2/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/12/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/24/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/14/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/26/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/16/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/5/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/9/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/18/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/7/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/21/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/3/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/23/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/11/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/13/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/25/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/15/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/17/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/27/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/19/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/pt/blog/sono/","1","sono","4","","0","Indexable",""
"https://www.bettersleep.com/pt/blog/sono/page/2/","1","sono","4","","0","Indexable",""
"https://www.bettersleep.com/blog/sound/","1","Sound","5","","0","Indexable",""
"https://www.bettersleep.com/blog/sound/page/2/","1","Sound","5","","0","Indexable",""
"https://www.bettersleep.com/es/blog/sueño/","1","Sueño","5","","0","Indexable",""
"https://www.bettersleep.com/es/blog/sueño/page/2/","1","Sueño","5","","0","Indexable",""
