"Name","Value"
"Address","https://www.bettersleep.com/sleep-better/"
"URL Encoded Address","https://www.bettersleep.com/sleep-better/"
"Content Type","text/html"
"Status Code","200"
"Status","OK"
"HTTP Version","1.1"
"Indexability","Indexable"
"Size","390.8 KB"
"Title 1","Sleep Better: The Definitive Guide to Restful Sleep | BetterSleep"
"Title 1 Length","65"
"Meta Description 1","A thorough guide on how to sleep better by improving 6 aspects of your daily life. From your nutrition and diet to your nighttime routine."
"Meta Description 1 Length","138"
"Meta Description 1 Pixel Width","831"
"H1-1","Sleep Better with BetterSleep"
"H1-1 Length","29"
"H2-1","SleepMoves"
"H2-1 Length","10"
"H2-2","Bedtime Stories"
"H2-2 Length","15"
"Meta Robots 1","INDEX, FOLLOW"
"Canonical Link Element 1","https://www.bettersleep.com/sleep-better/"
"Canonical Link Element 1 Origin","HTML"
"Canonical Link Element 1 Indexability","Indexable"
"Word Count","847"
"Text Ratio","1.31"
"Crawl Depth","2"
"Link Score",""
"Inlinks","281"
"Unique Inlinks","221"
"Unique JS Inlinks","0"
"% of Total","20.99"
"Outlinks","47"
"Unique Outlinks","20"
"Unique JS Outlinks","0"
"External Outlinks","13"
"Unique External Outlinks","12"
"Unique External JS Outlinks","0"
"Hash","8ba50cc49f5b894df27ae28390f80f17"
"Response Time","0.26"
"Last Modified","Thu, 28 Apr 2022 12:52:36 GMT"
"Clicks","14"
"Impressions","11416"
"CTR","0.0012"
"Position","9.46"
"HTML hreflang 1","fr"
"HTML hreflang 1 URL","https://www.bettersleep.com/fr/sommeil/"
"HTML hreflang 1 Language Code Valid","Valid"
"HTML hreflang 1 Confirmation Status","OK"
"HTML hreflang 2","es"
"HTML hreflang 2 URL","https://www.bettersleep.com/es/duerme-mejor/"
"HTML hreflang 2 Language Code Valid","Valid"
"HTML hreflang 2 Confirmation Status","OK"
"HTML hreflang 3","pt"
"HTML hreflang 3 URL","https://www.bettersleep.com/pt/durma_melhor/"
"HTML hreflang 3 Language Code Valid","Valid"
"HTML hreflang 3 Confirmation Status","OK"
"Crawl Timestamp","2022-04-28 09:55:47"
